@relation QueryResult

@attribute Year numeric
@attribute DayOfYear numeric
@attribute Comments numeric

@data
2012,142,16.722222
2012,143,16
2012,144,14.194444
2012,145,14.138888
2012,146,13.277777
2012,147,13.277777
2012,148,12.777777
2012,150,13.027777
2012,151,15
2012,152,19.138888
2012,153,17.75
2012,154,17.111111
2012,155,16.416666
2012,156,15.611111
2012,157,13.888888
2012,158,14.388888
2012,159,16.416666
2012,160,15.611111
2012,161,18.027777
2012,162,23.583333
2012,163,21.694444
2012,164,17.777777
2012,165,15
2012,166,15.611111
2012,167,18.277777
2012,168,27.25
2012,169,21.722222
2012,170,16.111111
2012,171,18.888888
2012,172,18.888888
2012,173,14.388888
2012,174,16.722222
2012,175,15.611111
2012,176,15.555555
2012,177,16.722222
2012,178,16.416666
2012,179,17.222222
2012,180,18.027777
2012,181,16.722222
2012,182,19
2012,183,17.777777
2012,184,17.222222
2012,185,17.25
2012,187,16.111111
2012,188,17.222222
2012,189,18.833333
2012,190,15
2012,191,16.055555
2012,192,17.777777
2012,193,20.555555
2012,194,18.277777
2012,195,16.166666
2012,196,15.805555
2012,197,16.361111
2012,198,16.111111
2012,199,16.722222
2012,200,16.722222
2012,201,16.055555
2012,202,18.888888
2012,203,20.861111
2012,204,20.25
2012,205,18.888888
2012,206,17.75
2012,207,17.25
2012,208,15.805555
2012,209,16.111111
2012,210,15.611111
2012,211,15.611111
2012,212,19.388888
2012,213,19.388888
2012,214,18.138888
2012,215,17.5
2012,216,16.666666
2012,217,16.722222
2012,218,17
2012,219,17.222222
2012,220,17.777777
2012,221,19.138888
2012,222,19.694444
2012,223,18.888888
2012,224,17
2012,225,18.277777
2012,226,20.611111
2012,227,19.138888
2012,228,17.222222
2012,229,16.972222
2012,230,17.222222
2012,231,17.75
2012,232,16.166666
2012,233,15.805555
2012,234,16.111111
2012,235,15.305555
2012,236,16.111111
2012,237,16.722222
2012,238,15.305555
2012,239,16.722222
2012,240,16.888888
2012,241,19.388888
2012,242,20.861111
2012,243,18.888888
2012,244,14.388888
2012,245,15
2012,246,19.444444
2012,248,15
2012,249,15.611111
2012,250,15.861111
2012,251,15.805555
2012,252,15.305555
2012,253,16.416666
2012,254,17.5
2012,255,16.111111
2012,256,16.111111
2012,257,16.111111
2012,258,15
2012,259,15.805555
2012,260,14.388888
2012,261,13.944444
2012,262,14
2012,263,13.888888
2012,264,14.694444
2012,265,15.861111
2012,266,17.777777
2012,267,16.416666
2012,268,16.416666
2012,269,14.388888
2012,270,13.277777
2012,271,14.694444
2012,272,13.277777
2012,273,16.111111
2012,274,20.861111
2012,275,25
2012,276,25.611111
2012,277,21.111111
2012,278,15.5
2012,279,15.305555
2012,280,15
2012,281,15.305555
2012,282,15
2012,283,14.444444
2012,284,14
2012,285,12.777777
2012,286,12.888888
2012,287,14
2012,288,15
2012,289,15
2012,290,16.416666
2012,291,19.388888
2012,292,21.166666
2012,293,18.027777
2012,294,12.777777
2012,295,12.222222
2012,296,12.777777
2012,297,11.722222
2012,298,12.222222
2012,299,12.777777
2012,300,13.888888
2012,301,15.805555
2012,302,14.388888
2012,303,14.638888
2012,304,14.194444
2012,305,15
2012,306,15
2012,307,12.777777
2012,308,16.166666
2012,309,17.75
2012,310,18.583333
2012,311,18.333333
2012,312,14.388888
2012,313,12.222222
2012,314,9.694444
2012,315,9.138888
2012,316,8.888888
2012,317,10.555555
2012,318,11.722222
2012,319,13.333333
2012,320,14.694444
2012,321,16.111111
2012,322,15.611111
2012,323,12.222222
2012,324,13.888888
2012,325,16.722222
2012,326,15
2012,328,12.25
2012,329,11.972222
2012,330,10
2012,331,10.611111
2012,332,12.222222
2012,333,14.194444
2012,334,15.611111
2012,335,16
2012,336,15.805555
2012,337,15
2012,338,12.888888
2012,339,15
2012,340,16
2012,341,13.888888
2012,342,10.611111
2012,343,9.194444
2012,344,14.694444
2012,345,12.222222
2012,346,11.722222
2012,347,10
2012,348,7
2012,349,8.333333
2012,350,7.777777
2012,351,13.277777
2012,352,12.777777
2012,353,7.777777
2012,354,6.111111
2012,355,9.388888
2012,356,12.222222
2012,357,11.111111
2012,358,11.111111
2012,359,7
2012,361,8.944444
2012,362,6.722222
2012,363,8.277777
2012,364,7.222222
2012,365,6.111111
2012,366,6.416666
2013,2,5.861111
2013,3,7.222222
2013,4,7.777777
2013,5,10
2013,6,8.888888
2013,7,4.388888
2013,8,8.138888
2013,9,9
2013,10,7.333333
2013,11,7.888888
2013,12,4.694444
2013,13,3.888888
2013,14,5.611111
2013,15,5.611111
2013,16,6.416666
2013,17,7.222222
2013,18,8.027777
2013,19,8.277777
2013,20,8.944444
2013,21,8.583333
2013,22,10.861111
2013,23,10.861111
2013,24,11.722222
2013,25,12.777777
2013,26,11
2013,27,8.277777
2013,28,8.277777
2013,29,8.638888
2013,30,10.555555
2013,31,10
2013,32,11.416666
2013,33,10
2013,34,10
2013,35,7.777777
2013,36,10
2013,37,7.111111
2013,38,7.777777
2013,39,6
2013,40,6.944444
2013,41,8.277777
2013,42,8.833333
2013,43,9.388888
2013,44,9.388888
2013,45,8.888888
2013,46,13.333333
2013,47,11.416666
2013,48,8.944444
2013,49,9.555555
2013,50,7.25
2013,51,8.388888
2013,52,7.194444
2013,53,10
2013,54,9
2013,55,9.444444
2013,56,9.444444
2013,57,10.305555
2013,58,11.166666
2013,59,11.416666
2013,60,9.388888
2013,61,14.388888
2013,62,12.111111
2013,63,10
2013,64,10
2013,65,10
2013,66,8.944444
2013,67,8.888888
2013,68,10.611111
2013,69,11.722222
2013,70,11.111111
2013,71,11.111111
2013,72,11.722222
2013,73,13.027777
2013,74,12.5
2013,75,12
2013,76,11.416666
2013,77,11.722222
2013,78,11.722222
2013,79,13.277777
2013,80,11.166666
2013,81,11.722222
2013,82,11.416666
2013,83,11.166666
2013,84,10.611111
2013,85,11.111111
2013,86,13.888888
2013,87,15
2013,88,15.305555
2013,89,14.694444
2013,91,13.888888
2013,92,12.222222
2013,93,12.777777
2013,94,14.388888
2013,95,14.388888
2013,96,13.277777
2013,97,12.111111
2013,98,11.722222
2013,99,15.555555
2013,100,17.25
2013,101,13.027777
2013,102,12.25
2013,103,12.222222
2013,104,12.222222
2013,105,10.611111
2013,106,11.972222
2013,107,14.444444
2013,108,15.555555
2013,109,15.861111
2013,110,15.861111
2013,111,19.444444
2013,112,19.444444
2013,113,17.5
2013,114,13.277777
2013,115,13.277777
2013,116,13.277777
2013,117,12.222222
2013,118,17.777777
2013,119,18.833333
2013,120,18.277777
2013,121,20.861111
2013,122,23.583333
2013,123,21.416666
2013,124,18.277777
2013,125,15.611111
2013,126,16.666666
2013,127,16.972222
2013,128,13.888888
2013,129,13
2013,130,13.888888
2013,131,15.305555
2013,132,17.25
2013,133,16.111111
2013,134,15
2013,135,15
2013,136,15
2013,137,14.444444
2013,138,15
2013,139,18.388888
2013,140,17.777777
2013,141,14.388888
2013,142,12.25
2013,143,13.277777
2013,144,12.777777
2013,145,13.138888
2013,146,15
2013,148,17.222222
2013,149,16.972222
2013,150,15.555555
2013,151,18.333333
2013,152,20.305555
2013,153,15.861111
2013,154,16.416666
2013,155,16.111111
2013,156,15.305555
2013,157,15.805555
2013,158,21.111111
2013,159,21.166666
2013,160,17.75
2013,161,17.75
2013,162,17.222222
2013,163,16.972222
2013,164,15.611111
2013,165,18.027777
2013,166,14.444444
2013,167,17.75
2013,168,16.722222
2013,169,15
2013,170,15.861111
2013,171,16.416666
2013,172,16.722222
2013,173,18.277777
2013,174,18
2013,175,17.888888
2013,176,21.722222
2013,177,20
2013,178,22.25
2013,179,23.833333
2013,180,24.694444
2013,181,21.666666
2013,182,22.5
2013,183,21.111111
2013,184,21.666666
2013,186,17.777777
2013,187,16.972222
2013,188,15.861111
2013,189,17.5
2013,190,18.583333
2013,191,17
2013,192,16.111111
2013,193,17.5
2013,194,18.833333
2013,195,16.111111
2013,196,15
2013,197,16.055555
2013,198,16.111111
2013,199,16.111111
2013,200,16.361111
2013,201,16.416666
2013,202,17.777777
2013,203,19.694444
2013,204,19.694444
2013,205,20.555555
2013,206,18.027777
2013,207,16.861111
2013,208,15.611111
2013,209,15.555555
2013,210,16.972222
2013,211,16.722222
2013,212,16.111111
2013,213,16.416666
2013,214,16.166666
2013,215,15.611111
2013,216,15
2013,217,16
2013,218,16.111111
2013,219,16.972222
2013,220,16.722222
2013,221,16.111111
2013,222,16.111111
2013,223,17.111111
2013,224,17.111111
2013,225,18.277777
2013,226,19.138888
2013,227,20.611111
2013,228,18.944444
2013,229,18.277777
2013,230,23.583333
2013,231,21.722222
2013,232,18.888888
2013,233,16.722222
2013,234,16.722222
2013,235,17
2013,236,18.277777
2013,237,18.888888
2013,238,17.888888
2013,239,18.277777
2013,240,18.277777
2013,241,19.388888
2013,242,19
2013,243,19.388888
2013,244,19.694444
2013,246,18.888888
2013,247,18.888888
2013,248,18.277777
2013,249,23.027777
2013,250,22.75
2013,251,20.611111
2013,252,20.305555
2013,253,18.027777
2013,254,18.583333
2013,255,17.888888
2013,256,16.861111
2013,257,16.111111
2013,258,17.5
2013,259,18.138888
2013,260,17.222222
2013,261,17.777777
2013,262,18.333333
2013,263,19.388888
2013,264,17.222222
2013,265,14.388888
2013,266,19.138888
2013,267,17.222222
2013,268,15
2013,269,16.111111
2013,270,17.777777
2013,271,16.972222
2013,272,18.888888
2013,273,17.5
2013,274,16.416666
2013,275,15.305555
2013,276,17.222222
2013,277,20
2013,278,19.138888
2013,279,19.694444
2013,280,16.972222
2013,281,14.388888
2013,282,13.944444
2013,283,14.138888
2013,284,12.222222
2013,285,12.777777
2013,286,14.444444
2013,287,16.694444
2013,288,17.25
2013,289,17.75
2013,290,16.944444
2013,291,15
2013,292,15.611111
2013,293,12.222222
2013,294,12.777777
2013,295,12.111111
2013,296,12.222222
2013,297,11.861111
2013,298,12.222222
2013,299,15
2013,300,12.777777
2013,301,13.277777
2013,302,13.277777
2013,303,12.222222
2013,304,13.833333
2013,305,13.888888
2013,306,13.277777
2013,307,12.5
2013,308,12.5
2013,309,15
2013,310,15.861111
2013,311,14.138888
2013,312,12
2013,313,13.027777
2013,314,9.388888
2013,315,15
2013,316,15.305555
2013,317,13
2013,318,12
2013,319,11.111111
2013,320,12.222222
2013,321,10.611111
2013,322,11.722222
2013,323,13.583333
2013,324,13.277777
2013,325,11.722222
2013,326,11.722222
2013,327,11.666666
2013,328,10.555555
2013,329,10.861111
2013,330,11.111111
2013,331,11.972222
2013,333,11.972222
2013,334,11.166666
2013,335,11.722222
2013,336,12
2013,337,11.111111
2013,338,5.611111
2013,339,3.833333
2013,340,8.583333
2013,341,6.972222
2013,342,1.722222
2013,343,2.777777
2013,344,4.694444
2013,345,5.861111
2013,346,6.972222
2013,347,7.777777
2013,348,7.5
2013,349,8.277777
2013,350,10
2013,351,11.111111
2013,352,9.694444
2013,353,8.888888
2013,354,7.777777
2013,355,9.444444
2013,356,9.388888
2013,357,10
2013,358,9.138888
2013,360,9.388888
2013,361,9.138888
2013,362,7.75
2013,363,8.833333
2013,364,8.833333
2013,365,5
2014,2,9.694444
2014,3,10
2014,4,8.277777
2014,5,9.138888
2014,6,10.861111
2014,7,10
2014,8,11.111111
2014,9,10
2014,10,10.861111
2014,11,9.388888
2014,12,8.888888
2014,13,10.25
2014,14,12.222222
2014,15,11.972222
2014,16,12.5
2014,17,10.861111
2014,18,10.861111
2014,19,10.611111
2014,20,10.861111
2014,21,9.138888
2014,22,10.305555
2014,23,11.972222
2014,24,10.861111
2014,25,12.75
2014,26,11.111111
2014,27,9.388888
2014,28,15.305555
2014,29,14.388888
2014,30,11.722222
2014,31,11
2014,32,8.583333
2014,33,8.583333
2014,34,8.027777
2014,35,8.027777
2014,36,8.888888
2014,37,10.611111
2014,38,11.722222
2014,39,14.388888
2014,40,15
2014,41,13.277777
2014,42,10.805555
2014,43,11.111111
2014,44,11
2014,45,13.583333
2014,46,14
2014,47,12.222222
2014,48,10.25
2014,49,11.722222
2014,50,11.722222
2014,51,12.25
2014,52,11.972222
2014,53,10.611111
2014,54,10
2014,55,14.138888
2014,56,11.416666
2014,57,13.138888
2014,58,15.305555
2014,59,12.5
2014,60,13.583333
2014,61,13.277777
2014,62,12.222222
2014,63,14.388888
2014,64,16.416666
2014,65,15
2014,66,12
2014,67,16.972222
2014,68,17.777777
2014,69,15
2014,70,16.111111
2014,71,17.75
2014,72,14.444444
2014,73,14.138888
2014,74,15.861111
2014,75,13.583333
2014,76,12.777777
2014,77,14.138888
2014,78,15.861111
2014,79,13.277777
2014,80,12.222222
2014,81,12.75
2014,82,12
2014,83,15
2014,84,12.777777
2014,85,12.777777
2014,86,14.138888
2014,87,15.305555
2014,88,13.138888
2014,89,11.555555
2014,90,8.888888
2014,91,7.777777
2014,92,11.111111
2014,93,11.722222
2014,94,10.611111
2014,95,12.222222
2014,96,16.722222
2014,97,19.694444
2014,98,18.333333
2014,99,15.305555
2014,100,14.694444
2014,101,14.388888
2014,102,13.277777
2014,103,14.194444
2014,104,13.888888
2014,105,13
2014,106,14.444444
2014,107,15.611111
2014,108,13.888888
2014,109,14
2014,111,14.388888
2014,112,13.333333
2014,113,13.583333
2014,114,15
2014,115,12.777777
2014,116,11.722222
2014,117,12.75
2014,118,15.305555
2014,119,21.111111
2014,120,22.777777
2014,121,22.25
2014,122,18.277777
2014,123,14.138888
2014,124,13.888888
2014,125,14
2014,126,15.25
2014,127,12.777777
2014,128,17
2014,129,15
2014,130,14.138888
2014,131,17.777777
2014,132,20
2014,133,23.888888
2014,134,25
2014,135,21.111111
2014,136,17.777777
2014,137,16.722222
2014,138,16.416666
2014,139,15
2014,140,14.138888
2014,141,13.888888
2014,142,15
2014,143,16.722222
2014,144,16.555555
2014,145,18.055555
2014,147,16.972222
2014,148,16.722222
2014,149,17.5
2014,150,13.277777
2014,151,15.861111
2014,152,15.861111
2014,153,14.388888
2014,154,15
2014,155,16.722222
2014,156,16.416666
2014,157,16.111111
2014,158,17.222222
2014,159,23.055555
2014,160,21.111111
2014,161,17.777777
2014,162,17.222222
2014,163,16.722222
2014,164,16.166666
2014,165,17.75
2014,166,16.722222
2014,167,15.305555
2014,168,17.222222
2014,169,20.555555
2014,170,16.722222
2014,171,19.694444
2014,172,16.166666
2014,173,15.305555
2014,174,16.111111
2014,175,19.138888
2014,176,17.777777
2014,177,17.222222
2014,178,16.361111
2014,179,18.138888
2014,180,21.166666
2014,181,22
2014,182,17.777777
2014,183,16.722222
2014,184,17.222222
2014,186,17.75
2014,187,18.583333
2014,188,18.277777
2014,189,17.777777
2014,190,18.277777
2014,191,18.277777
2014,192,17
2014,193,15.805555
2014,194,18.277777
2014,195,21.111111
2014,196,22.222222
2014,197,18.888888
2014,198,18.583333
2014,199,17.222222
2014,200,18.638888
2014,201,18.888888
2014,202,18.277777
2014,203,18.583333
2014,204,18.277777
2014,205,21.111111
2014,206,23.583333
2014,207,21.722222
2014,208,20
2014,209,19.138888
2014,210,20
2014,211,18
2014,212,18.027777
2014,213,19.138888
2014,214,16.861111
2014,215,16.111111
2014,216,16.722222
2014,217,18.888888
2014,218,20
2014,219,17.222222
2014,220,17.777777
2014,221,16.555555
2014,222,17
2014,223,18
2014,224,18.277777
2014,225,18.888888
2014,226,19.388888
2014,227,17.777777
2014,228,18
2014,229,16.861111
2014,230,16.111111
2014,231,17.5
2014,232,17.222222
2014,233,18.277777
2014,234,18.027777
2014,235,17.222222
2014,236,17.888888
2014,237,17.111111
2014,238,17.888888
2014,239,19.388888
2014,240,17.777777
2014,241,18.277777
2014,242,20.861111
2014,243,19.388888
2014,245,18.138888
2014,246,17.222222
2014,247,16.722222
2014,248,16.722222
2014,249,16.111111
2014,250,15.611111
2014,251,15
2014,252,15.611111
2014,253,17.777777
2014,254,18.888888
2014,255,19.388888
2014,256,18.277777
2014,257,17.777777
2014,258,18.583333
2014,259,18.277777
2014,260,21.111111
2014,261,21
2014,262,18.583333
2014,263,17.777777
2014,264,17.888888
2014,265,18
2014,266,18.888888
2014,267,19.388888
2014,268,16.722222
2014,269,16.722222
2014,270,17
2014,271,16.055555
2014,272,16
2014,273,16.111111
2014,274,19.388888
2014,275,21.666666
2014,276,22.25
2014,277,22.5
2014,278,20.861111
2014,279,18.888888
2014,280,16.111111
2014,281,18.277777
2014,282,16.111111
2014,283,14.694444
2014,284,16.111111
2014,285,21.722222
2014,286,18.888888
2014,287,18.277777
2014,288,17.777777
2014,289,15
2014,290,17.777777
2014,291,17.5
2014,292,15
2014,293,16.111111
2014,294,15
2014,295,16.722222
2014,296,16.111111
2014,297,16.111111
2014,298,17.222222
2014,299,13.277777
2014,300,13.583333
2014,301,15
2014,302,16.722222
2014,303,16.722222
2014,304,13.638888
2014,305,11.722222
2014,306,11.972222
2014,307,12.75
2014,308,14.388888
2014,309,15.555555
2014,310,15.861111
2014,311,13
2014,312,15
2014,313,14.388888
2014,314,11.111111
2014,315,14.138888
2014,316,15.611111
2014,317,14.694444
2014,318,12.777777
2014,319,11.722222
2014,320,12.888888
2014,321,11.361111
2014,322,13.888888
2014,323,13.888888
2014,324,12.777777
2014,325,12.777777
2014,326,13.888888
2014,327,10
2014,328,10.305555
2014,329,11.972222
2014,330,12.5
2014,332,7.777777
2014,333,12.777777
2014,334,12.222222
2014,335,12.777777
2014,336,13
2014,337,15.611111
2014,338,15.611111
2014,339,15.611111
2014,340,15
2014,341,12
2014,342,15
2014,343,13.888888
2014,344,13.583333
2014,345,14
2014,346,10
2014,347,8.944444
2014,348,11.722222
2014,349,10.611111
2014,350,11
2014,351,10.611111
2014,352,12.222222
2014,353,12.777777
2014,354,14
2014,355,15
2014,356,14.388888
2014,357,11.722222
2014,358,9.388888
2014,360,8.277777
2014,361,6.166666
2014,362,8.277777
2014,363,8
2014,364,7.5
2014,365,6.111111
2015,2,4.5
2015,3,5.861111
2015,4,6.972222
2015,5,8.583333
2015,6,9.138888
2015,7,10.555555
2015,8,11.416666
2015,9,11.972222
2015,10,10.305555
2015,11,8.277777
2015,12,9.694444
2015,13,8.277777
2015,14,9.388888
2015,15,11.111111
2015,16,11.416666
2015,17,10.611111
2015,18,11.972222
2015,19,12.222222
2015,20,9
2015,21,8.888888
2015,22,8.027777
2015,23,12.25
2015,24,12.5
2015,25,10.305555
2015,26,12.75
2015,27,16.111111
2015,28,11.972222
2015,29,9.694444
2015,30,10.611111
2015,31,13.833333
2015,32,11.972222
2015,33,13.277777
