@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Price numeric

@data
2015,7,12,5.99
2015,7,13,5.99
2015,7,14,5.99
2015,7,15,5.99
2015,7,16,5.99
2015,7,17,5.99
2015,7,18,5.99
2015,7,19,5.99
2015,7,20,5.99
2015,7,21,5.99
2015,7,22,5.99
2015,7,23,5.99
2015,7,24,5.99
2015,7,25,5.99
2015,7,26,5.99
2015,7,27,5.99
2015,7,28,5.99
2015,7,29,5.99
2015,7,30,5.99
2015,7,31,5.99
2015,8,1,5.99
2015,8,2,5.99
2015,8,3,5.99
2015,8,4,5.99
2015,8,5,5.99
2015,8,6,5.99
2015,8,7,5.99
2015,8,8,5.99
2015,8,9,5.99
2015,8,10,5.99
2015,8,11,5.99
2015,8,12,5.99
2015,8,13,5.99
2015,8,14,5.99
2015,8,15,5.99
2015,8,16,5.99
2015,8,17,5.99
2015,8,18,5.99
2015,8,19,5.99
2015,8,20,5.99
2015,8,21,5.99
2015,8,22,5.99
2015,8,23,5.99
2015,8,24,5.99
2015,8,25,5.99
2015,8,26,5.99
2015,8,27,5.99
2015,8,28,5.99
2015,8,29,5.99
2015,8,30,5.99
2015,8,31,5.99
2015,9,1,5.99
2015,9,2,5.99
2015,9,3,5.99
2015,9,4,5.99
2015,9,5,5.99
2015,9,6,5.99
2015,9,8,5.99
2015,9,9,5.99
2015,9,10,5.99
2015,9,11,5.99
2015,9,12,5.99
2015,9,13,5.99
2015,9,14,5.99
2015,9,15,5.99
2015,9,16,5.99
2015,9,17,5.99
2015,9,18,5.99
2015,9,19,5.99
2015,9,20,5.99
2015,9,21,5.99
2015,9,22,5.99
2015,9,23,5.99
2015,9,24,5.99
2015,9,25,5.99
2015,9,26,5.99
2015,9,27,5.99
2015,9,28,5.99
2015,9,29,5.99
2015,9,30,5.99
2015,10,1,5.99
2015,10,2,5.99
2015,10,3,5.99
2015,10,4,5.99
2015,10,5,5.99
2015,10,6,5.99
2015,10,7,5.99
2015,10,8,5.99
2015,10,9,5.99
2015,10,10,5.99
2015,10,11,5.99
2015,10,12,5.99
2015,10,13,5.99
2015,10,14,5.99
2015,10,15,5.99
2015,10,16,5.99
2015,10,17,5.99
2015,10,18,5.99
2015,10,19,5.99
2015,10,20,5.99
2015,10,21,5.99
2015,10,22,5.99
2015,10,23,5.99
2015,10,24,5.99
2015,10,25,5.99
2015,10,26,5.99
2015,10,27,5.99
2015,10,28,5.99
2015,10,29,5.99
2015,10,30,5.99
2015,10,31,5.99
2015,11,1,5.99
2015,11,2,5.99
2015,11,3,5.99
2015,11,4,5.99
2015,11,5,5.99
2015,11,6,5.99
2015,11,7,5.99
2015,11,8,5.99
2015,11,9,5.99
2015,11,10,5.99
2015,11,11,5.99
2015,11,12,5.99
2015,11,13,5.99
2015,11,14,5.99
2015,11,15,5.99
2015,11,16,5.99
2015,11,17,5.99
2015,11,18,5.99
2015,11,19,5.99
2015,11,20,5.99
2015,11,21,5.99
2015,11,22,5.99
2015,11,23,5.99
2015,11,24,5.99
2015,11,25,5.99
2015,11,27,5.99
2015,11,28,5.99
2015,11,29,5.99
2015,11,30,5.99
2015,12,1,5.99
2015,12,2,5.99
2015,12,3,5.99
2015,12,4,5.99
2015,12,5,5.99
2015,12,6,5.99
2015,12,7,5.99
2015,12,8,5.99
2015,12,9,5.99
2015,12,10,5.99
2015,12,11,5.99
2015,12,12,5.99
2015,12,13,5.99
2015,12,14,5.99
2015,12,15,5.99
2015,12,16,5.99
2015,12,17,5.99
2015,12,18,5.99
2015,12,19,5.99
2015,12,20,5.99
2015,12,21,5.99
2015,12,22,5.99
2015,12,23,5.99
2015,12,24,5.99
2015,12,26,5.99
2015,12,27,5.99
2015,12,28,5.99
2015,12,29,5.99
2015,12,30,5.99
2015,12,31,5.99
2016,1,2,5.99
2016,1,3,5.99
2016,1,4,5.99
2016,1,5,5.99
2016,1,6,5.99
2016,1,7,5.99
2016,1,8,5.99
2016,1,9,5.99
2016,1,10,5.99
2016,1,11,5.99
2016,1,12,5.99
2016,1,13,5.99
2016,1,14,5.99
2016,1,15,5.99
2016,1,16,5.99
2016,1,17,5.99
2016,1,18,5.99
2016,1,19,5.99
2016,1,20,5.99
2016,1,21,5.99
2016,1,22,5.99
2016,1,23,5.99
2016,1,24,5.99
2016,1,25,5.99
2016,1,26,5.99
2016,1,27,5.99
2016,1,28,5.99
2016,1,29,5.99
2016,1,30,5.99
2016,1,31,5.99
2016,2,1,5.99
2016,2,2,5.99
2016,2,3,5.99
2016,2,4,5.99
2016,2,5,5.99
2016,2,6,5.99
2016,2,7,5.99
2016,2,8,5.99
2016,2,9,5.99
2016,2,10,5.99
2016,2,11,5.99
2016,2,12,5.99
2016,2,13,5.99
2016,2,14,5.99
2016,2,15,5.99
2016,2,16,5.99
2016,2,17,5.99
2016,2,18,5.99
2016,2,19,5.99
2016,2,20,5.99
2016,2,21,5.99
2016,2,22,5.99
2016,2,23,5.99
2016,2,24,5.99
2016,2,25,5.99
2016,2,26,5.99
2016,2,27,5.99
2016,2,28,5.99
2016,2,29,5.99
2016,3,1,5.99
2016,3,2,5.99
2016,3,3,5.99
2016,3,4,5.99
2016,3,5,5.99
2016,3,6,5.99
2016,3,7,5.99
2016,3,8,5.99
2016,3,9,5.99
2016,3,10,5.99
2016,3,11,5.99
2016,3,12,5.99
2016,3,13,5.99
2016,3,14,5.99
2016,3,15,5.99
2016,3,16,5.99
2016,3,17,5.99
2016,3,18,5.99
2016,3,19,5.99
2016,3,20,5.99
2016,3,21,5.99
2016,3,22,5.99
2016,3,23,5.99
2016,3,24,5.99
2016,3,25,5.99
2016,3,26,5.99
2016,3,28,5.99
2016,3,29,5.99
2016,3,30,5.99
2016,3,31,5.99
2016,4,1,5.99
2016,4,2,5.99
2016,4,3,5.99
2016,4,4,5.99
2016,4,5,5.99
2016,4,6,5.99
2016,4,7,4.980164
2016,4,8,4.988165
2016,4,9,4.99
2016,4,10,4.99
2016,4,11,4.99
2016,4,12,4.99
2016,4,13,4.99
2016,4,14,4.987691
2016,4,15,4.987561
2016,4,16,4.99
2016,4,17,4.99
2016,4,18,4.99
2016,4,19,4.99
2016,4,20,4.99
2016,4,21,4.99
2016,4,22,4.99
2016,4,23,4.99
2016,4,24,4.99
2016,4,25,4.99
2016,4,26,4.99
2016,4,27,4.99
2016,4,28,4.99
2016,4,29,4.99
2016,4,30,4.99
2016,5,1,4.99
2016,5,2,5.99
2016,5,3,5.99
2016,5,4,5.99
2016,5,5,5.99
2016,5,6,5.99
2016,5,7,5.99
2016,5,8,5.99
2016,5,9,5.99
2016,5,10,5.99
2016,5,11,5.99
2016,5,12,5.99
2016,5,13,5.99
2016,5,14,5.99
2016,5,15,5.99
2016,5,16,5.99
2016,5,17,5.99
2016,5,18,5.99
2016,5,19,5.99
2016,5,20,5.99
2016,5,21,5.99
2016,5,22,5.99
2016,5,23,5.99
2016,5,24,5.99
2016,5,25,5.99
2016,5,26,5.99
2016,5,27,5.99
2016,5,28,5.99
2016,5,29,5.99
2016,5,31,5.99
2016,6,1,5.99
2016,6,2,5.99
2016,6,3,5.99
2016,6,4,5.99
2016,6,5,5.99
2016,6,6,5.99
2016,6,7,5.99
2016,6,8,5.99
2016,6,9,5.99
2016,6,10,5.99
2016,6,11,5.99
2016,6,12,5.99
2016,6,13,5.99
2016,6,14,5.99
2016,6,15,5.99
2016,6,16,5.99
2016,6,17,5.99
2016,6,18,5.99
2016,6,19,5.99
2016,6,20,5.99
2016,6,21,5.99
2016,6,22,5.99
2016,6,23,5.99
2016,6,24,5.99
2016,6,25,5.99
2016,6,26,5.99
2016,6,27,5.99
2016,6,28,5.99
2016,6,29,5.99
2016,6,30,5.99
2016,7,1,5.99
2016,7,2,5.99
2016,7,3,5.99
2016,7,5,5.99
2016,7,6,5.99
2016,7,7,5.99
2016,7,8,5.99
2016,7,9,5.99
2016,7,10,5.99
2016,7,11,5.99
2016,7,12,5.99
2016,7,13,5.99
2016,7,14,5.99
2016,7,15,5.99
2016,7,16,5.99
2016,7,17,5.99
2016,7,18,5.99
2016,7,19,5.99
2016,7,20,5.99
2016,7,21,5.99
2016,7,22,5.99
2016,7,23,5.99
2016,7,24,5.99
2016,7,25,5.99
2016,7,26,5.99
2016,7,27,5.99
2016,7,28,5.99
2016,7,29,5.99
2016,7,30,5.99
2016,7,31,5.99
2016,8,1,5.99
2016,8,2,5.99
2016,8,3,5.99
2016,8,4,5.99
2016,8,5,5.99
2016,8,6,5.99
2016,8,7,5.99
2016,8,8,5.99
2016,8,9,5.99
2016,8,10,5.99
2016,8,11,5.99
2016,8,12,5.99
2016,8,13,5.99
2016,8,14,5.99
2016,8,15,5.99
2016,8,16,5.99
2016,8,17,5.99
2016,8,18,5.99
2016,8,19,5.99
2016,8,20,5.99
2016,8,21,5.99
2016,8,22,5.99
2016,8,23,5.99
2016,8,24,5.99
2016,8,25,5.99
2016,8,26,5.99
2016,8,27,5.99
2016,8,28,5.99
2016,8,29,5.99
2016,8,30,5.99
2016,8,31,5.99
2016,9,1,5.99
2016,9,2,5.99
2016,9,3,5.99
2016,9,4,5.99
2016,9,6,5.99
2016,9,7,5.99
2016,9,8,5.99
2016,9,9,5.99
2016,9,10,5.99
2016,9,11,5.99
2016,9,12,5.99
2016,9,13,5.99
2016,9,14,5.99
2016,9,15,5.99
2016,9,16,5.99
2016,9,17,5.99
2016,9,18,5.99
2016,9,19,5.99
2016,9,20,5.99
2016,9,21,5.99
2016,9,22,5.99
2016,9,23,5.99
2016,9,24,5.99
2016,9,25,5.99
2016,9,26,5.99
2016,9,27,5.99
2016,9,28,5.99
2016,9,29,5.99
2016,9,30,5.99
2016,10,1,5.99
2016,10,2,5.99
2016,10,3,5.99
2016,10,4,5.99
2016,10,5,5.99
2016,10,6,5.99
2016,10,7,5.99
2016,10,8,5.99
2016,10,9,5.99
2016,10,10,5.99
2016,10,11,5.99
2016,10,12,5.99
2016,10,13,5.99
2016,10,14,5.99
2016,10,15,5.99
2016,10,16,5.99
2016,10,17,5.99
2016,10,18,5.99
2016,10,19,5.99
2016,10,20,5.99
2016,10,21,5.99
2016,10,22,5.99
2016,10,23,5.99
2016,10,24,5.99
2016,10,25,5.99
2016,10,26,5.99
2016,10,27,5.99
2016,10,28,5.99
2016,10,29,5.99
2016,10,30,5.99
2016,10,31,5.99
2016,11,1,5.99
2016,11,2,5.99
2016,11,3,5.99
2016,11,4,5.99
2016,11,5,5.99
2016,11,6,5.99
2016,11,7,5.99
2016,11,8,5.99
2016,11,9,5.99
2016,11,10,5.99
2016,11,11,5.99
2016,11,12,5.99
2016,11,13,5.99
2016,11,14,5.99
2016,11,15,5.99
2016,11,16,5.99
2016,11,17,5.99
2016,11,18,5.99
2016,11,19,5.99
2016,11,20,5.99
2016,11,21,5.99
2016,11,22,5.99
2016,11,23,5.99
2016,11,25,5.996452
2016,11,26,5.99
2016,11,27,5.99
2016,11,28,5.99
2016,11,29,5.99
2016,11,30,5.99
2016,12,1,5.99
2016,12,2,5.99
2016,12,3,5.99
2016,12,4,5.99
2016,12,5,5.99
2016,12,6,5.99
2016,12,7,5.99
2016,12,8,5.99
2016,12,9,5.99
2016,12,10,5.99
2016,12,11,5.99
2016,12,12,5.99
2016,12,13,5.99
2016,12,14,5.99
2016,12,15,5.99
2016,12,16,5.99
2016,12,17,5.99
2016,12,18,5.99
2016,12,19,5.99
2016,12,20,5.99
2016,12,21,5.99
2016,12,22,5.99
2016,12,23,5.99
2016,12,24,5.99
2016,12,26,5.99
2016,12,27,5.99
2016,12,28,5.99
2016,12,29,5.99
2016,12,30,5.99
2016,12,31,5.99
2017,1,2,5.99
2017,1,3,5.99
2017,1,4,5.99
2017,1,5,5.99
2017,1,6,5.99
2017,1,7,5.99
2017,1,8,5.99
2017,1,9,5.99
2017,1,10,5.99
2017,1,11,5.99
2017,1,12,5.99
2017,1,13,5.99
2017,1,14,5.99
2017,1,15,5.99
2017,1,16,5.99
2017,1,17,5.99
2017,1,18,5.99
2017,1,19,5.99
2017,1,20,5.99
2017,1,21,5.99
2017,1,22,5.99
2017,1,23,5.99
2017,1,24,5.99
2017,1,25,5.99
2017,1,26,5.99
2017,1,27,5.99
2017,1,28,5.99
2017,1,29,5.99
2017,1,30,5.99
2017,1,31,5.99
2017,2,1,5.99
2017,2,2,5.99
2017,2,3,5.99
2017,2,4,5.99
2017,2,5,5.99
2017,2,6,5.99
2017,2,7,5.99
2017,2,8,5.99
2017,2,9,5.99
2017,2,10,5.99
2017,2,11,5.99
2017,2,12,5.99
2017,2,13,5.99
2017,2,14,5.99
2017,2,15,5.99
2017,2,16,5.99
2017,2,17,5.99
2017,2,18,5.99
2017,2,19,5.99
2017,2,20,5.99
2017,2,21,5.99
2017,2,22,5.99
2017,2,23,5.99
2017,2,24,5.99
2017,2,25,5.99
2017,2,26,5.99
2017,2,27,5.99
2017,2,28,5.99
2017,3,1,5.99
2017,3,2,5.99
2017,3,3,5.99
2017,3,4,5.99
2017,3,5,5.99
2017,3,6,5.99
2017,3,7,5.99
2017,3,8,5.99
2017,3,9,5.99
2017,3,10,5.99
2017,3,11,5.99
2017,3,12,5.99
2017,3,13,5.99
2017,3,14,5.99
2017,3,15,5.99
2017,3,16,5.99
2017,3,17,5.99
2017,3,18,5.99
2017,3,19,5.99
2017,3,20,5.99
2017,3,21,5.99
2017,3,22,5.99
2017,3,23,4.987765
2017,3,24,4.988487
2017,3,25,4.98886
2017,3,26,4.98889
2017,3,27,4.99
2017,3,28,4.99
2017,3,29,4.988162
2017,3,30,4.99
2017,3,31,4.99
